117;3;František Halas; Torso naděje
118;3;Jaroslav Hašek; Osudy dobrého vojáka Švejka za světové války (V zázemí)
119;3;Václav Havel; Zahradní slavnost
120;3;Vladimír Holan; Noc s Hamletem
121;3;Jaroslav Havlíček; Petrolejové lampy
122;3;Bohumil Hrabal; Příliš hlučná samota
123;3;František Hrubín; Romance pro křídlovku
124;3;Ivan Martin Jirous; Magorovy labutí písně
125;3;Josef Kainar; Moje blues
126;3;Pavel Kohout; Katyně
127;3;Karel Kryl; Kníška Karla Kryla
128;3;Milan Kundera; Směšné lásky
129;3;Arnošt Lustig; Modlitba pro Kateřinu Horovitzovou
130;3;Vítězslav Nezval; Žena v množném čísle (in Básně II, vyd. 2012)
131;3;Vladimír Páral; Soukromá vichřice
132;3;Jaroslav Seifert; Na vlnách TSF
133;3;Ladislav Smoljak – Zdeněk Svěrák; Záskok
134;3;Josef Škvorecký; Zbabělci
135;3;Jáchym Topol; Kloktat dehet
136;3;Josef Topol; Konec masopustu
137;3;Miloš Urban; Sedmikostelí
138;3;Jaroslav Seifert; Morový sloup
139;3;Vladislav Vančura; Markéta Lazarová
140;3;Vladislav Vančura; Rozmarné léto
141;3;Jiří Voskovec – Jan Werich; Osel a stín
142;3;Jiří Weil; Život s hvězdou
143;3;Ota Pavel; Smrt krásných srnců
144;3;Jan Zahradníček; Znamení moci
145;3;Jiří Hájíček; Selský baroko
146;3;Petra Hůlová; Paměť mojí babičce
147;3;Jaroslav Rudiš; Konec punku v Helsinkách
148;3;Jan Skácel; Smuténka
